id,conversation_id,turn_id,user_text,crisis_level,crisis_type,explicitness
1,C1,1,Today was a calm day and I completed my routine tasks.,0,normal,explicit
2,C2,1,I enjoyed talking with my friends in the evening.,0,normal,explicit
3,C3,1,I am learning a new topic and it feels interesting.,0,normal,explicit
4,C4,1,"Nothing unusual happened today, it was just a regular day.",0,normal,explicit
5,C5,1,I went for a walk and felt relaxed.,0,normal,explicit
6,C6,1,I have many assignments and it is making me feel tense.,1,stress,explicit
7,C7,1,Deadlines are piling up and I am getting anxious.,1,anxiety,explicit
8,C8,1,I feel pressure to perform well in exams.,1,stress,explicit
9,C9,1,Work has been overwhelming this week.,1,stress,explicit
10,C10,1,I keep worrying about whether I can manage everything.,1,anxiety,implicit
11,C11,1,Lately I feel low and unmotivated most of the time.,2,depression,explicit
12,C12,1,It feels like nothing I do really matters anymore.,2,depression,implicit
13,C13,1,I have lost interest in things I used to enjoy.,2,depression,explicit
14,C14,1,There is a constant feeling of emptiness inside.,2,depression,explicit
15,C15,1,I feel tired emotionally and mentally drained every day.,2,depression,implicit
16,C16,1,Sometimes I think about hurting myself when emotions get intense.,3,self_harm,explicit
17,C17,1,"When I feel overwhelmed, I get thoughts of causing pain to myself.",3,self_harm,implicit
18,C18,1,I have urges to injure myself during emotional breakdowns.,3,self_harm,explicit
19,C19,1,"In moments of extreme stress, I feel like punishing my own body.",3,self_harm,implicit
20,C20,1,I sometimes think about self-injury as a way to cope.,3,self_harm,explicit
21,C21,1,There are times I wish I could disappear completely.,4,suicide,implicit
22,C22,1,I often feel like life is no longer worth continuing.,4,suicide,explicit
23,C23,1,It feels as if not existing would be easier than living.,4,suicide,implicit
24,C24,1,I don’t feel any reason to stay alive anymore.,4,suicide,explicit
25,C25,1,Sometimes I think everyone would be better off without me.,4,suicide,implicit
26,C26,1,My day went fine and I finished all my planned work.,0,normal,explicit
27,C27,1,I felt relaxed while listening to music.,0,normal,explicit
28,C28,1,I am comfortable with how things are going today.,0,normal,explicit
29,C29,1,I spent time reading and felt peaceful.,0,normal,explicit
30,C30,1,Everything seems normal and stable right now.,0,normal,explicit
31,C31,1,I am under a lot of pressure and feel constantly worried.,1,anxiety,explicit
32,C32,1,I feel stressed because I cannot meet all expectations.,1,stress,explicit
33,C33,1,There is a lot of tension and I can’t relax.,1,stress,implicit
34,C34,1,I feel nervous about the future and upcoming responsibilities.,1,anxiety,explicit
35,C35,1,My workload is causing me a lot of mental strain.,1,stress,explicit
36,C36,1,I feel hopeless and nothing excites me anymore.,2,depression,explicit
37,C37,1,Every day feels heavy and emotionally exhausting.,2,depression,implicit
38,C38,1,I struggle to find any meaning in what I do.,2,depression,explicit
39,C39,1,There is a sense of worthlessness that doesn’t go away.,2,depression,explicit
40,C40,1,I feel emotionally numb and disconnected from everything.,2,depression,implicit
41,C41,1,I sometimes get thoughts of harming myself when things go wrong.,3,self_harm,explicit
42,C42,1,"During emotional pain, I feel drawn toward self-injury.",3,self_harm,implicit
43,C43,1,I think about hurting myself as a reaction to stress.,3,self_harm,explicit
