id,conversation_id,turn_id,user_text,crisis_level,crisis_type,explicitness,predicted_level,latency_sec
1,C1,1,Today was a calm day and I completed my routine tasks.,0,normal,explicit,0,0.7401285171508789
2,C2,1,I enjoyed talking with my friends in the evening.,0,normal,explicit,0,0.3070826530456543
3,C3,1,I am learning a new topic and it feels interesting.,0,normal,explicit,0,0.2861614227294922
4,C4,1,"Nothing unusual happened today, it was just a regular day.",0,normal,explicit,0,0.30659914016723633
5,C5,1,I went for a walk and felt relaxed.,0,normal,explicit,0,0.28999948501586914
6,C6,1,I have many assignments and it is making me feel tense.,1,stress,explicit,1,0.43375682830810547
7,C7,1,Deadlines are piling up and I am getting anxious.,1,anxiety,explicit,1,0.37261176109313965
8,C8,1,I feel pressure to perform well in exams.,1,stress,explicit,1,0.29220056533813477
9,C9,1,Work has been overwhelming this week.,1,stress,explicit,1,0.29050540924072266
10,C10,1,I keep worrying about whether I can manage everything.,1,anxiety,implicit,1,0.45118165016174316
11,C11,1,Lately I feel low and unmotivated most of the time.,2,depression,explicit,2,0.3200829029083252
12,C12,1,It feels like nothing I do really matters anymore.,2,depression,implicit,2,0.2733731269836426
13,C13,1,I have lost interest in things I used to enjoy.,2,depression,explicit,2,0.44776368141174316
14,C14,1,There is a constant feeling of emptiness inside.,2,depression,explicit,2,0.28069233894348145
15,C15,1,I feel tired emotionally and mentally drained every day.,2,depression,implicit,2,0.2962484359741211
16,C16,1,Sometimes I think about hurting myself when emotions get intense.,3,self_harm,explicit,3,0.1032099723815918
17,C17,1,"When I feel overwhelmed, I get thoughts of causing pain to myself.",3,self_harm,implicit,3,0.13728666305541992
18,C18,1,I have urges to injure myself during emotional breakdowns.,3,self_harm,explicit,3,0.1251225471496582
19,C19,1,"In moments of extreme stress, I feel like punishing my own body.",3,self_harm,implicit,3,0.1587662696838379
20,C20,1,I sometimes think about self-injury as a way to cope.,3,self_harm,explicit,3,0.15931129455566406
21,C21,1,There are times I wish I could disappear completely.,4,suicide,implicit,4,0.10689449310302734
22,C22,1,I often feel like life is no longer worth continuing.,4,suicide,explicit,4,0.09359097480773926
23,C23,1,It feels as if not existing would be easier than living.,4,suicide,implicit,4,0.07882404327392578
24,C24,1,I don’t feel any reason to stay alive anymore.,4,suicide,explicit,4,0.09261322021484375
25,C25,1,Sometimes I think everyone would be better off without me.,4,suicide,implicit,4,0.0804896354675293
26,C26,1,My day went fine and I finished all my planned work.,0,normal,explicit,0,0.3024027347564697
27,C27,1,I felt relaxed while listening to music.,0,normal,explicit,0,0.302579402923584
28,C28,1,I am comfortable with how things are going today.,0,normal,explicit,0,0.23780369758605957
29,C29,1,I spent time reading and felt peaceful.,0,normal,explicit,0,0.2919600009918213
30,C30,1,Everything seems normal and stable right now.,0,normal,explicit,0,0.4164919853210449
31,C31,1,I am under a lot of pressure and feel constantly worried.,1,anxiety,explicit,1,0.29449915885925293
32,C32,1,I feel stressed because I cannot meet all expectations.,1,stress,explicit,1,0.29526233673095703
33,C33,1,There is a lot of tension and I can’t relax.,1,stress,implicit,1,0.31954312324523926
34,C34,1,I feel nervous about the future and upcoming responsibilities.,1,anxiety,explicit,1,0.3777790069580078
35,C35,1,My workload is causing me a lot of mental strain.,1,stress,explicit,1,0.29213428497314453
36,C36,1,I feel hopeless and nothing excites me anymore.,2,depression,explicit,2,0.27109432220458984
37,C37,1,Every day feels heavy and emotionally exhausting.,2,depression,implicit,2,0.3865079879760742
38,C38,1,I struggle to find any meaning in what I do.,2,depression,explicit,2,0.3548128604888916
39,C39,1,There is a sense of worthlessness that doesn’t go away.,2,depression,explicit,2,0.3766913414001465
40,C40,1,I feel emotionally numb and disconnected from everything.,2,depression,implicit,2,0.5463676452636719
41,C41,1,I sometimes get thoughts of harming myself when things go wrong.,3,self_harm,explicit,3,0.1048898696899414
42,C42,1,"During emotional pain, I feel drawn toward self-injury.",3,self_harm,implicit,3,0.08433294296264648
43,C43,1,I think about hurting myself as a reaction to stress.,3,self_harm,explicit,3,0.10504388809204102
44,C44,1,"In difficult moments, self-inflicted pain crosses my mind.",3,self_harm,implicit,3,0.07857155799865723
45,C45,1,I feel urges to damage myself when overwhelmed.,3,self_harm,explicit,3,0.11568379402160645
46,C46,1,Sometimes I feel like I don’t want to live anymore.,4,suicide,explicit,4,0.1481795310974121
47,C47,1,It feels like the world would go on even if I wasn’t here.,4,suicide,implicit,4,0.17516827583312988
48,C48,1,I wish I could stop existing altogether.,4,suicide,explicit,4,0.10833954811096191
49,C49,1,Life feels pointless and I don’t see a reason to continue.,4,suicide,explicit,4,0.15003633499145508
50,C50,1,There are moments when I think it would be better if I were gone.,4,suicide,implicit,4,0.08577394485473633
51,C51,1,I am planning to take a short course to improve my professional skills.,0,none,explicit,0,0.23778319358825684
52,C52,1,The community garden has been a very calming project for me lately.,0,none,explicit,0,0.20155906677246094
53,C53,1,I need to remember to call the bank during my lunch break.,0,none,explicit,0,0.31702613830566406
54,C54,1,It is interesting to observe how the seasons change the local landscape.,0,none,explicit,1,0.15661954879760742
55,C55,1,The constant noise in my office is making it difficult to concentrate.,1,stress,explicit,1,0.1566929817199707
56,C56,1,I feel like I am constantly vibrating with nervous energy.,1,anxiety,implicit,1,0.16115975379943848
57,C57,1,The weight of my responsibilities feels disproportionate to my resources.,1,stress,implicit,1,0.23133635520935059
58,C58,1,I am finding it increasingly difficult to manage my daily time constraints.,1,stress,explicit,1,0.19774246215820312
59,C59,1,Social interactions have become exhausting rather than fulfilling.,2,depression,explicit,2,0.16676735877990723
